Event ID,Event Type,Name,Date,Time,VIP Price,Gold Price,Silver Price,Bronze Price,General Admission Price,Venue Name,Pct Seats Unavailable,Venue Type,Capacity,Cost,VIP Pct,Gold Pct,Silver Pct,Bronze Pct,General Adminission Pct,Reserved Extra Pct,Fireworks,Fireworks Cost,VIP Seats Sold,Gold Seats Sold,Silver Seats Sold,Bronze Seats Sold,General Admission Seats Sold,Total VIP Revenue,Total Gold Revenue,Total Silver Revenue,Total Bronze Revenue,Total General Admission Revenue
101,Sport,UTEP Miners vs. Western Kentucky (Basketball),2/14/2026,7:00 PM,110.0,85.0,65.0,45.0,25.0,Don Haskins Center,0,Arena,14000,85649.88,45.0,20.0,15.0,10.0,5.0,5,No,0,10,6,30,23,23,1100.00,510.00,1950.00,1035.00,575.00
102,Festival,UTEP Spring Carnival,3/14/2026,12:00 PM,135.0,110.0,90.0,70.0,45.0,Glory Field,0,Field,10000,64556.38,45.0,20.0,15.0,10.0,5.0,5,No,0,7,16,12,6,28,945.00,1760.00,1080.00,420.00,1260.00
103,Concert,Maná México Lindo Tour,5/30/2026,8:00 PM,5225.0,3450.0,2950.0,1900.0,775.0,Don Haskins Center,0,Arena,14000,157430.31,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,0,6,0.00,0.00,0.00,0.00,4650.00
104,Sport,UTEP Miners vs. Liberty (Football),11/21/2026,7:00 PM,125.0,95.0,70.0,50.0,30.0,Sun Bowl Stadium,0,Stadium,64000,625991.19,45.0,20.0,15.0,10.0,5.0,5,No,0,21,25,19,9,20,2625.00,2375.00,1330.00,450.00,600.00
105,Festival,Miner Lights Winter Fest,12/12/2026,5:00 PM,90.0,75.0,60.0,40.0,25.0,Foster Stevens Center,0,Outdoor,8000,-79719.00,45.0,20.0,15.0,10.0,5.0,5,No,0,31,34,18,45,14,2790.00,2550.00,1080.00,1800.00,350.00
106,Concert,UTEP Alumni Band Reunion Concert,10/25/2026,6:00 PM,35.0,25.0,20.0,15.0,8.0,Magoffin Auditorium,0,Auditorium,1152,-15328.04,45.0,20.0,15.0,10.0,5.0,5,No,0,5,27,16,31,11,175.00,675.00,320.00,465.00,88.00
107,Concert,The Weeknd: After Hours Til Dawn Tour,7/18/2026,8:00 PM,6100.0,3950.0,3450.0,2250.0,900.0,Sun Bowl Stadium,0,Stadium,64000,733760.00,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,0,0,0,9,0.00,0.00,0.00,0.00,8100.00
108,Festival,Miner Summer Bash,6/15/2026,2:00 PM,160.0,130.0,105.0,80.0,45.0,Glory Field,0,Field,10000,-33523.50,45.0,20.0,15.0,10.0,5.0,5,No,0,26,8,17,25,23,4160.00,1040.00,1785.00,2000.00,1035.00
109,Sport,UTEP Miners vs. New Mexico (Basketball),12/10/2026,7:00 PM,115.0,90.0,70.0,50.0,30.0,Don Haskins Center,0,Arena,14000,96232.50,45.0,20.0,15.0,10.0,5.0,5,No,0,20,21,17,8,17,2300.00,1890.00,1190.00,400.00,510.00
110,Concert,Banda MS Tour 2026,9/4/2026,8:00 PM,4950.0,3250.0,2750.0,1850.0,750.0,Don Haskins Center,0,Arena,14000,127136.88,45.0,20.0,15.0,10.0,5.0,5,No,0,0,0,0,2,9,0.00,0.00,0.00,3700.00,6750.00
111,Festival,UTEP Miner Farmers Market,4/11/2026,9:00 AM,75.0,60.0,50.0,35.0,20.0,Foster Stevens Center,0,Outdoor,8000,20798.44,45.0,20.0,15.0,10.0,5.0,5,No,0,11,17,17,34,25,825.00,1020.00,850.00,1190.00,500.00
112,Concert,Imagine Dragons Live,8/29/2026,8:00 PM,5325.0,3500.0,3000.0,1950.0,800.0,Sun Bowl Stadium,0,Stadium,64000,738923.75,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,1,0,0,2,0.00,3500.00,0.00,0.00,1600.00
113,Sport,UTEP Miners vs. UAB (Football),9/19/2026,6:30 PM,120.0,95.0,70.0,50.0,30.0,Sun Bowl Stadium,0,Stadium,64000,687451.63,45.0,20.0,15.0,10.0,5.0,5,No,0,15,16,12,11,15,1800.00,1520.00,840.00,550.00,450.00
114,Concert,Shakira World Tour 2026,10/9/2026,8:00 PM,5785.0,3900.0,3400.0,2200.0,875.0,Don Haskins Center,0,Arena,14000,164500.00,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
115,Festival,UTEP Miner Film Fest,11/15/2026,1:00 PM,95.0,80.0,65.0,45.0,25.0,Foster Stevens Center,0,Outdoor,8000,34524.38,45.0,20.0,15.0,10.0,5.0,5,No,0,19,18,5,14,18,1805.00,1440.00,325.00,630.00,450.00
116,Sport,UTEP Miners Women’s Soccer vs. NMSU,8/28/2026,6:00 PM,45.0,35.0,25.0,18.0,10.0,Glory Field,0,Field,10000,52550.60,45.0,20.0,15.0,10.0,5.0,5,No,0,20,28,9,39,20,900.00,980.00,225.00,702.00,200.00
117,Concert,Metallica M72 World Tour,9/25/2026,8:00 PM,6250.0,4100.0,3500.0,2300.0,900.0,Sun Bowl Stadium,0,Stadium,64000,751086.25,45.0,20.0,15.0,10.0,5.0,5,Yes,0.0,0,0,0,0,1,0.00,0.00,0.00,0.00,900.00
118,Festival,UTEP Tech Expo,3/22/2026,10:00 AM,110.0,90.0,70.0,50.0,30.0,Foster Stevens Center,0,Outdoor,8000,-3859.50,45.0,20.0,15.0,10.0,5.0,5,No,0,16,29,18,4,26,1760.00,2610.00,1260.00,200.00,780.00
119,Sport,UTEP Miners vs. UT Arlington (Basketball),1/17/2026,7:00 PM,115.0,85.0,65.0,45.0,25.0,Don Haskins Center,0,Arena,14000,68820.63,45.0,20.0,15.0,10.0,5.0,5,No,0,19,21,5,33,29,2185.00,1785.00,325.00,1485.00,725.00
120,Concert,Miner Philharmonic Strings,11/21/2026,6:30 PM,38.0,26.0,20.0,15.0,8.0,Magoffin Auditorium,0,Auditorium,1152,-16424.59,45.0,20.0,15.0,10.0,5.0,5,No,0,9,11,27,20,22,342.00,286.00,540.00,300.00,176.00
121,Festival,Miner Holiday Market,12/5/2026,11:00 AM,80.0,65.0,50.0,35.0,20.0,Foster Stevens Center,0,Outdoor,8000,27229.31,45.0,20.0,15.0,10.0,5.0,5,No,0,14,18,17,24,18,1120.00,1170.00,850.00,840.00,360.00
